OBJECTNUMMER;Detail;Locatie;Knelpuntnummer;Type_knelpunt;Beschrijving_knelpunt;Diersoorten;Type_oplossing;Beschrijving_oplossing;Beheergebied;Geschatte_kosten;Jaar_realisatie;Status;Foto;SELECTIE;FILTER;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
63;"Detail63.jpg";"Europaboulevard";"Zu15";"Autoweg";"De Europaboulevard vormt een barrière.";"Boom bewonende zoogdieren";"Eekhoornbrug";"De Europaboulevard voorzien van een Faunapassage. De eekhoornbrug is gerealiseerd in 2012.";"DIVV, Stadsdeel Zuid";"";2013;"Gerealiseerd";"foto 1 eekhoornbrug 2.jpg";"BRUG";"GEREALISEERD";"POINT(4.8899839,52.3289572)";"POINT(52.3289572,4.8899839)";"4,8899839";"52,3289572";
64;"Detail63.jpg";"Europaboulevard";"Zu14";"Autoweg";"De Europaboulevard vormt een barrière.";"Amfibieën - Kleine zoogdieren";"Faunapassage";"De Europaboulevard voorzien van een Faunapassage. De eekhoornbrug is gerealiseerd in 2012.";"DIVV, Stadsdeel Zuid";"";2018;"In de planning";"Foto63.jpg";"PASSAGE";"INGEPLAND";"POINT(4.8899362,52.3291365)";"POINT(52.3291365,4.8899362)";"4,8899362";"52,3291365";
65;"Detail64.jpg";"Amstel oostoever";"O030";"A10";"De A10 loopt samen met een spoorlijn via een de Rozenoordbrug over de Amstel.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Onderdoorgang";"Oever toegankelijk maken is gebeurd (2014) De Onderdoorgang voorzien van stortsteen (is nog actie).";"Stadsdeel Oost";"";2020;"In de planning";"Foto64.jpg";"ONDER";"INGEPLAND";"POINT(4.899761,52.3325392)";"POINT(52.3325392,4.899761)";"4,899761";"52,3325392";
66;"Detail65.jpg";"Amstel Westoever";"Av17";"A9";"De A9 gaat via een viaduct over de Amsterdam Amstel.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Onderdoorgang";"De onderdoorgang voorzien van stortsteen.";"Gemeente Amstelveen, RWS";"10.000 – 15.000";0;"Op termijn";"Foto65.jpg";"ONDER";"OP_TERMIJN";"POINT(4.8901451,52.2946364)";"POINT(52.2946364,4.8901451)";"4,8901451";"52,2946364";
67;"Detail66.jpg";"Amstel Oostoever";"OA03";"A9";"De A9 gaat via een viaduct over de Amsterdam Amstel.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Onderdoorgang";"De onderdoorgang voorzien van stortsteen.";"Gemeente Ouder Amstel, RWS";"10.000 – 15.000";0;"Op termijn";"Foto66.jpg";"ONDER";"OP_TERMIJN";"POINT(4.8929732,52.2940718)";"POINT(52.2940718,4.8929732)";"4,8929732";"52,2940718";
68;"Detail67.jpg";"Polderweg";"OA04";"A9";"De A9 gaat via een viaduct over de Polderweg.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Onderdoorgang";"De onderdoorgang voorzien van stortsteen.";"Gemeente Ouder Amstel, RWS";"10.000 – 15.000";0;"Op termijn";"Foto67.jpg";"ONDER";"OP_TERMIJN";"POINT(4.8991072,52.2920806)";"POINT(52.2920806,4.8991072)";"4,8991072";"52,2920806";
69;"Detail68.jpg";"Holtenbergerweg";"OA01";"Autoweg";"De Holtenbergerweg onderbreekt twee groenstroken die onder een viaduct doorlopen van een aantal spoorlijnen.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De Holterberweg voorzien van een Faunapassage.";"Gemeente Ouder-Amstel";"20.000 - 50.000";0;"Op termijn";"Foto68.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.9285438,52.321797)";"POINT(52.321797,4.9285438)";"4,9285438";"52,321797";
70;"Detail69.jpg";"Machinevaart";"Zo23";"A2";"De A2 snijdt de Machinevaart doormidden. Dit is opgelost met een duiker maar de weg vormt nog wel een barrière op het land.";"Amfibieën - Kleine zoogdieren - Reptielen";"Faunarichel";"De duiker voorzien van faunarichels.";"RWS, AGV";"";2018;"Gerealiseerd";"Foto69.jpg";"RICHEL";"GEREALISEERD";"POINT(4.932846,52.302792)";"POINT(52.302792,4.932846)";"4,932846";"52,302792";
71;"Detail71.jpg";"Gaasperdammerweg (talud)";"Zo19";"Autoweg";"De taluds van de Gaasperdammerweg vormen een geschikte groenstrook voor fauna, maar deze wordt onderbroken door de Muntbergweg.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Muntbergweg voorzien van een Faunapassage.";"RWS, DIVV";"30.000 – 60.000";2020;"In de planning";"Foto71.jpg";"PASSAGE";"INGEPLAND";"POINT(4.948396,52.2983138)";"POINT(52.2983138,4.948396)";"4,948396";"52,2983138";
72;"Detail72.jpg";"Amsterdam Rijnkanaal bij Flevopark";"O010";"Beschoeiing";"Beschoeiing maakt het voor fauna erg moeilijk om het Amsterdams Rijnkanaal uit te komen.";"Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"De Westerlijke Merwedekanaaldijk voorzien van een natuurontwikkeling. ";"RWS";"";2015;"Gerealiseerd";"IMG_3474.JPG";"FUP";"GEREALISEERD";"POINT(4.9586861,52.359677)";"POINT(52.359677,4.9586861)";"4,9586861";"52,359677";
73;"ecopassage provinciale weg.JPG";"Gaasp";"Zo01";"Provinciale weg";"De Provincialeweg / Weespertrekvaart, verbinding Diemerpark – Bijlmerweide.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"";"Stadsdeel Zuidoost, AGV * IVV";"";2014;"Gerealiseerd";"";"PASSAGE";"GEREALISEERD";"POINT(4.9586861,52.359677)";"POINT(52.359677,4.9586861)";"4,977608";"52,3307501";
74;"Detail78.jpg";"Gaasperdammerweg (talud)";"Zo13";"Autoweg";"Gooiseweg, verbinding Bijlmerpark – Gaasperplas.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Onderdoorgang";"Buis onder Gooise weg";"RWS, Stadsdeel Zuidoost";"";2005;"Gerealiseerd";"Gooiseweg bijlmerpark.jpg";"ONDER";"GEREALISEERD";"POINT(4.9713671,52.3080184)";"POINT(52.3080184,4.9713671)";"4,9713671";"52,3080184";
75;"Detail79.jpg";"Gaasperdammerweg (talud)";"Zo24";"A9";"Meerkerkdreef, groene verbinding.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"Wordt gerealiseerd bij verbreding A9.";"RWS";"";2020;"In de planning";"";"PASSAGE";"INGEPLAND";"POINT(4.9626119,52.3048255)";"POINT(52.3048255,4.9626119)";"4,9626119";"52,3048255";
76;"Detail80.jpg";"Gaasperdammerweg (talud)";"Zo12";"Autoweg";"Kromwijkdreef, groene verbinding.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"Wordt gerealiseerd bij verbreding A9.";"RWS";"";2020;"In de planning";"Foto80.jpg";"PASSAGE";"INGEPLAND";"POINT(4.9837048,52.3122107)";"POINT(52.3122107,4.9837048)";"4,9837048";"52,3122107";
77;"Detail81.jpg";"Gaasp";"Di11";"Oversteek water";"Een houten beschoeiing maakt het moeilijk voor fauna om de Weespertrekvaart uit te komen. Oversteek is onderdeel van de fietsbrug";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunagoot";"Wordt gerealiseerd bij verbreding A9.";"RWS";"";2020;"In de planning";"Foto81.jpg";"GOOT";"INGEPLAND";"POINT(4.997099,52.317488)";"POINT(52.317488,4.997099)";"4,997099";"52,317488";
78;"Detail81.jpg";"Gaasp";"Di10";"Beschoeiing";"Een houten beschoeiing maakt het moeilijk voor fauna om de Weespertrekvaart uit te komen.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"Wordt gerealiseerd bij verbreding A9.";"RWS";"";2020;"In de planning";"Foto81.jpg";"FUP";"INGEPLAND";"POINT(4.99699,52.3176352)";"POINT(52.3176352,4.99699)";"4,99699";"52,3176352";
79;"";"Amsterdam Rijnkanaal";"Di07";"Beschoeiing";"Beschoeiing maakt het voor fauna erg moeilijk om het Amsterdams Rijnkanaal uit te komen.";"Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"is gerealiseerd bij de boog A9- A1.";"RWS";"";2017;"Gerealiseerd";"Amsterdam Rijnkanaal.jpg";"FUP";"GEREALISEERD";"POINT(5.0153921,52.3297698)";"POINT(52.3297698,5.0153921)";"5,0153921";"52,3297698";
80;"Detail83.jpg";"Amsterdam Rijnkanaal";"Di08";"Beschoeiing";"Beschoeiing maakt het voor fauna erg moeilijk voor fauna om het Amsterdams Rijnkanaal uit te komen.";"Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"Isgerealiseerd bij de bouw boog A9 – A1.";"RWS";"";2017;"Gerealiseerd";"Foto83.jpg";"FUP";"GEREALISEERD";"POINT(5.0172932,52.3301932)";"POINT(52.3301932,5.0172932)";"5,0172932";"52,3301932";
81;"Detail84.jpg";"Papenlaan";"Mu01";"A1";"Barrière A1 tussen Gemeenschapspolder en Ijmeer.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"Wordt gerealiseerd bij verbreding A1.";"Gemeente Muiden";"";0;"Op termijn";"Foto84.jpg";"PASSAGE";"OP_TERMIJN";"POINT(5.0367062,52.3323599)";"POINT(52.3323599,5.0367062)";"5,0367062";"52,3323599";
82;"Detail86.jpg";"Amsterdam Rijnkanaal";"Zo11";"Beschoeiing";"Beschoeiing maakt het voor fauna moeilijk om uit het Amsterdams Rijnkanaal te komen.";"Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"Beide oevers voorzien van een FUP.";"RWS, Stadsdeel ZuidOost";"100.000 - 150.000";0;"Op termijn";"Foto86.jpg";"FUP";"OP_TERMIJN";"POINT(5.020721,52.302482)";"POINT(52.302482,5.020721)";"5,020721";"52,302482";
83;"Detail87.jpg";"Spoorlijn / ARK";"Di09";"Beschoeiing";"Beschoeiing maakt het erg lastig voor fauna om uit het Amsterdams Rijnkanaal te komen.";"Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"Beide oevers voorzien van een FUP.";"RWS, Gemeente Diemen, Gemeente Weesp";"100.000 – 150.000";0;"Op termijn";"Foto87.jpg";"FUP";"OP_TERMIJN";"POINT(5.017544,52.3249899)";"POINT(52.3249899,5.017544)";"5,017544";"52,3249899";
84;"Detail88.jpg";"Bullewijk";"OA05";"A9";"De A9 gaat via een viaduct over de Bullewijk (rivier) . Beschoeiing maakt het erg lastig voor fauna om uit de Bullewijk (rivier) te komen.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"De onderdoorgang voorzien van stortsteen. De oever voorzien van een FUP.";"AGV, RWS, Gemeente Ouder-Amstel";"10.000 – 15.000";0;"Op termijn";"Foto88.jpg";"FUP";"OP_TERMIJN";"POINT(4.9156811,52.2884337)";"POINT(52.2884337,4.9156811)";"4,9156811";"52,2884337";
85;"Detail88.jpg";"Bullewijk";"OA12";"A9";"De A9 gaat via een viaduct over de Bullewijk (rivier) . Beschoeiing maakt het erg lastig voor fauna om uit de Bullewijk (rivier) te komen.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Onderdoorgang";"De onderdoorgang voorzien van stortsteen. De oever voorzien van een FUP.";"AGV, RWS, Gemeente Ouder-Amstel";"10.000 – 15.000";0;"Op termijn";"Foto88.jpg";"ONDER";"OP_TERMIJN";"POINT(4.9156172,52.2881705)";"POINT(52.2881705,4.9156172)";"4,9156172";"52,2881705";
86;"Detail89.jpg";"Bullewijk";"OA06";"A9";"De A9 gaat via een viaduct over de Bullewijk (rivier) . Beschoeiing maakt het erg lastig voor fauna om uit de Bullewijk (rivier) te komen.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"De onderdoorgang voorzien van stortsteen. De oever voorzien van een FUP.";"AGV, RWS, Gemeente Ouder-Amstel";"10.000– 15.000";0;"Op termijn";"Foto89.jpg";"FUP";"OP_TERMIJN";"POINT(4.9166329,52.2882849)";"POINT(52.2882849,4.9166329)";"4,9166329";"52,2882849";
87;"Detail89.jpg";"Bullewijk";"OA11";"A9";"De A9 gaat via een viaduct over de Bullewijk (rivier) . Beschoeiing maakt het erg lastig voor fauna om uit de Bullewijk (rivier) te komen.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Onderdoorgang";"De onderdoorgang voorzien van stortsteen. De oever voorzien van een FUP.";"AGV, RWS, Gemeente Ouder-Amstel";"10.000– 15.000";0;"Op termijn";"Foto89.jpg";"ONDER";"OP_TERMIJN";"POINT(4.916548,52.2879836)";"POINT(52.2879836,4.916548)";"4,916548";"52,2879836";
88;"Detail90.jpg";"Holendrechterzijweg / Amstelweg";"OA07";"A9";"De A9 gaat via een viaduct over de Holendrechterzijweg en Amstelweg.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Onderdoorgang";"De onderdoorgang voorzien van stortsteen. Kanttekening: Aan een kant ligt al stortsteen.";"RWS, gemeente Ouder Amstel";"";2005;"Gerealiseerd";"Foto90.jpg";"ONDER";"GEREALISEERD";"POINT(4.9350579,52.2861449)";"POINT(52.2861449,4.9350579)";"4,9350579";"52,2861449";
89;"Detail91.jpg";"Holendrecht";"OA10";"A2";"De A2 gaat via een viaduct over de Holendrecht.";"Amfibieën - Kleine zoogdieren - Reptielen - Vleermuizen";"Onderdoorgang";"De onderdoorgang voorzien van zandbaan, stenige dijk";"AGV, RWS, gem. Ouder Amstel";"";2008;"Gerealiseerd";"Foto91.jpg";"ONDER";"GEREALISEERD";"POINT(4.9547231,52.2783324)";"POINT(52.2783324,4.9547231)";"4,9547231";"52,2783324";
90;"Detail92.jpg";"Tafelbergweg";"Zo20";"Autoweg";"De Tafelbergweg scheidt een groenstrook van golfterrein ‘De Hoge Dijk’.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De tafelbergweg voorzien van een Faunapassage.";"V&OR, Stadsdeel ZuidOost";"";2018;"Gerealiseerd";"Foto92.jpg";"PASSAGE";"GEREALISEERD";"POINT(4.959323,52.28826)";"POINT(52.28826,4.959323)";"4,959323";"52,28826";
91;"Detail93.jpg";"Tafelbergweg";"Zo25";"Spoorlijn";"Een spoorlijn loopt via een viaduct over de Tafelbergweg.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De onderdoorgang voorzien van stortsteen aan beide kanten van de weg. De Tafelbergweg voorzien van een Faunapassage.";"DIVV, ProRail, Stadsdeel Zuidoost";"";0;"Op termijn";"Foto93.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.966669,52.29078)";"POINT(52.29078,4.966669)";"4,966669";"52,29078";
92;"Detail93.jpg";"Tafelbergweg";"Zo21";"Spoorlijn";"Een spoorlijn loopt via een viaduct over de Tafelbergweg.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Onderdoorgang";"De onderdoorgang voorzien van stortsteen aan beide kanten van de weg. De Tafelbergweg voorzien van een Faunapassage.";"DIVV, ProRail, Stadsdeel Zuidoost";"Faunapassage: 15.000 – 25. 000 # Stortsteen: 15.000 - 35.000";2017;"Gerealiseerd";"Foto93.jpg";"ONDER";"GEREALISEERD";"POINT(4.966664,52.290787)";"POINT(52.290787,4.966664)";"4,966664";"52,290787";
93;"Detail94.jpg";"Abcouderstraatweg";"Zo22";"Autoweg";"De Abcouderstraatweg loopt tussen twee groengebieden door.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De Abcouderstraatweg voorzien van een Faunapassage.";"Stadsdeel Zuidoost";"";2018;"Gerealiseerd";"Foto94.jpg";"PASSAGE";"GEREALISEERD";"POINT(4.9651467,52.2823983)";"POINT(52.2823983,4.9651467)";"4,9651467";"52,2823983";
94;"Detail97.jpg";"A10 / Coenhaven-Petroleumhavenweg";"HA05";"A10";"Een spoorlijn gaat via een viaduct de Einsteinweg over.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Onderdoorgang";"De onderdoorgang voorzien van stortsteen.";"";"";2017;"Gerealiseerd";"Foto97.jpg";"ONDER";"GEREALISEERD";"POINT(4.854902,52.406525)";"POINT(52.406525,4.854902)";"4,854902";"52,406525";
95;"Detail98.jpg";"Buiten IJ / Zeeburgerpassage";"O002";"Vaarroute";"Waterverkeer maakt het voor dieren moeilijk om over te steken.";"Amfibieën - Kleine zoogdieren - Reptielen - Vleermuizen";"Rietland";"Het gebied voorzien van rietland.";"RWS, Stadsdeel Oost, Provincie Noord-Holland";"";2020;"In de planning";"";"RIET";"INGEPLAND";"POINT(4.97383,52.372262)";"POINT(52.372262,4.97383)";"4,97383";"52,372262";
96;"Detail99.jpg";"Buiten IJ / Blauwe Hooft";"N038";"Vaarroute";"Waterverkeer maakt het voor dieren moeilijk om over te steken.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen - Vleermuizen";"Rietland";"Het gebied voorzien van rietland.";"RWS, Stadsdeel Noord, Provincie Noord-Holland";"150.000 – 200.000";0;"Op termijn";"";"RIET";"OP_TERMIJN";"POINT(4.9816968,52.3734404)";"POINT(52.3734404,4.9816968)";"4,9816968";"52,3734404";
97;"Detail100.jpg";"Buiten IJ / Vuurtoreneiland";"N039";"Vaarroute";"Waterverkeer maakt het voor dieren moeilijk om over te steken.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen - Vleermuizen";"Rietland";"Het gebied voorzien van rietland richting Strekdam";"RWS, Stadsdeel Noord, Provincie Noord-Holland";"150.000 – 200.000";0;"Op termijn";"";"RIET";"OP_TERMIJN";"POINT(5.0130441,52.3718764)";"POINT(52.3718764,5.0130441)";"5,0130441";"52,3718764";
98;"Detail101.jpg";"Buiten IJ / Schellingwouderbrug";"N035";"Vaarroute";"Waterverkeer maakt het voor dieren moeilijk om over te steken.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen - Vleermuizen";"Rietland";"De pijlers van de Schellingwouderbrug voorzien van rietland.";"RWS, Stadsdeel Noord, Provincie Noord-Holland";"150.000 – 200.000";0;"Op termijn";"";"RIET";"OP_TERMIJN";"POINT(4.9681179,52.379254)";"POINT(52.379254,4.9681179)";"4,9681179";"52,379254";
99;"Detail102.jpg";"Spoorweg-emplacement";"O017";"Spoorlijn";"Een aantal spoorlijnen loopt over de Ringweg-Oost via een viaduct.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Onderdoorgang";"Wordt gerealiseerd als onderdeel ontsluitingsweg Sciencepark.";"ProRail, Stadsdeel Oost, PM";"";2018;"In de planning";"Foto102.jpg";"ONDER";"INGEPLAND";"POINT(4.9598868,52.3486334)";"POINT(52.3486334,4.9598868)";"4,9598868";"52,3486334";
100;"Detail103.jpg";"Verbinding Noorderijplas";"N005";"Autoweg A8";"De A8 vormt een barrière tussen de NoorderIJplas en polder Oostzaan.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"";"RWS";"120.000 – 250.000";0;"Op termijn";"Foto103.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.8672001,52.4304625)";"POINT(52.4304625,4.8672001)";"4,8672001";"52,4304625";
101;"Detail104.jpg";"Teleport bruggen Haarlemmertrekvaart";"NW18";"Brug";"De Klimopweg loopt via een aantal bruggen over de Haarlemmertrekvaart.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunarichel";"Beide oevers voorzien van faunarichels.";"V&OR, Haven Amsterdam, Stadsdeel Nieuw West";"15.000 – 30.000";2010;"Gerealiseerd";"Foto104.jpg";"RICHEL";"GEREALISEERD";"POINT(4.840256,52.3850485)";"POINT(52.3850485,4.840256)";"4,840256";"52,3850485";
103;"Detail106.jpg";"Passage Ringvaart - Nieuwe Meer";"NW46";"Vaarroute";"De passage Ringvaart nieuwe meer grenst aan een kant aan het Amsterdamse Bos, maar aan de andere loopt een weg vlak langs de vaart en is beschoeiing geplaatst. Onderdeel van de Groene As.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen - Vleermuizen";"Rietland";"Het gebied voorzien van rietland.";"Amsterdamse Bos, Stadsdeel Zuid";"500.000";0;"Op termijn";"Foto106.jpg";"RIET";"OP_TERMIJN";"POINT(4.817316,52.327435)";"POINT(52.327435,4.817316)";"4,817316";"52,327435";
104;"Detail107.jpg";"Burgemeester Stramanweg / Korte Dwarsweg";"OA02";"Autoweg";"De Burgemeester Stramanweg scheidt de Duivendrechtsche Polder van de Polder de Nieuwe Bullewijk.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Burgemeester Stramanweg voorzien van een Faunapassage.";"Gemeente Ouder-Amstel";"15.000 – 30.000";0;"Op termijn";"Foto107.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.9240138,52.3058745)";"POINT(52.3058745,4.9240138)";"4,9240138";"52,3058745";
105;"Detail108.jpg";"Oranjebaan";"Av16";"Autoweg";"De Oranjebaan scheidt het groene gebied rondom Sportpark Escapade van recreatiegebied Elsenhove.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Oranjebaan voorzien van een Faunapassage.";"Gemeente Amstelveen";"15.000 – 30.000";0;"Op termijn";"Foto108.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.8911388,52.2986151)";"POINT(52.2986151,4.8911388)";"4,8911388";"52,2986151";
106;"Detail109.jpg";"Bosrandweg / Nieuwe Meerweg";"Av13";"Autoweg";"De Bosrandweg scheidt het Amsterdamse Bos van het Schinkelbos.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De Bosrandweg voorzien van een Faunapassage.";"Gemeente Aalsmeer, Provincie Noord-Holland";"";2019;"In de planning";"Foto109.jpg";"PASSAGE";"INGEPLAND";"POINT(4.811158,52.304102)";"POINT(52.304102,4.811158)";"4,811158";"52,304102";
107;"Detail110.jpg";"Elektriciteitscentrale Diemen";"Di05";"Beschoeiing";"Bij de elektriciteitscentrale in Diemen maakt beschoeiing het erg lastig voor fauna om uit het water te komen.";"Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"De oever voorzien van een FUP.";"NUON, Gemeente Diemen";"100.000 - 150.000";0;"Op termijn";"Foto110.jpg";"FUP";"OP_TERMIJN";"POINT(5.0236819,52.3373152)";"POINT(52.3373152,5.0236819)";"5,0236819";"52,3373152";
108;"Detail111.jpg";"Bos en Lommerweg brug Haarlemmertrekvaart";"W03";"Beschoeiing";"De Bos en Lommerweg loopt via een aantal bruggen over de Haarlemmertrekvaart.";"Amfibieën - Kleine zoogdieren - Reptielen";"Faunarichel";"De brug voorzien van een faunarichel.";"Haven Amsterdam, AGV";"5.000 - 15.000";2019;"Op termijn";"";"RICHEL";"OP_TERMIJN";"POINT(4.855458,52.3853919)";"POINT(52.3853919,4.855458)";"4,855458";"52,3853919";
109;"Detail112.jpg";"Spoorlijn / Handweg";"Av06";"Autoweg";"De Handweg vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"Een Faunapassage aanleggen onder de Handweg.";"Gemeente Amstelveen";"20.000 - 40.000";0;"Op termijn";"";"PASSAGE";"OP_TERMIJN";"POINT(4.8456089,52.2996108)";"POINT(52.2996108,4.8456089)";"4,8456089";"52,2996108";
110;"Detail113.jpg";"Verbinding Eendrachtspark en Bretten met Faunapassage Haarlemmerweg.";"NW08";"Autoweg";"De haarlemmerweg vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"Faunapassage aanleggen onder de Haarlemmerweg.";"V&OR, Provincie Noord-Holland";"2.500.000";0;"Op termijn";"";"PASSAGE";"OP_TERMIJN";"POINT(4.7850382,52.3840682)";"POINT(52.3840682,4.7850382)";"4,7850382";"52,3840682";
111;"";"Brug Haarlemmervaart/ Australienhavenweg";"NW10";"Brug";"Een brug vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunarichel";"De brug voorzien van een faunarichel.";"Haven Amsterdam, AGV, V&OR";"5.000 - 10.000,-";2010;"Gerealiseerd";"NW10 2016 .JPG";"RICHEL";"GEREALISEERD";"POINT(4.8030221,52.3846251)";"POINT(52.3846251,4.8030221)";"4,8030221";"52,3846251";
112;"";"Verbinding Kluut 1 met Kluut 2";"NW01";"Autoweg";"Kluut I en Kluut II zijn van elkaar afgezonderd.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"Passage op viaduct A5";"Westrandweg, RWS";"";2015;"Gerealiseerd";"Viaduct westrandweg A5.jpg";"PASSAGE";"GEREALISEERD";"POINT(4.7675888,52.3839919)";"POINT(52.3839919,4.7675888)";"4,7675888";"52,3839919";
113;"Detail116.jpg";"Brug Osdorperweg bij Osdorpervaart";"NW02";"Brug";"Een brug vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunarichel";"";"RWS";"";2014;"Gerealiseerd";"5.1.JPG";"RICHEL";"GEREALISEERD";"POINT(4.759639,52.3810851)";"POINT(52.3810851,4.759639)";"4,759639";"52,3810851";
114;"Detail117.jpg";"Nico Broekhuysenweg bij Ma Braunpad";"NW22";"Autoweg";"De Nico Broekhuysenweg vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunagoot";"Faunagoten aanleggen.";"Stadsdeel Nieuw West, AGV";"5.000 – 10.000";0;"Op termijn";"";"GOOT";"OP_TERMIJN";"POINT(4.791414,52.3753134)";"POINT(52.3753134,4.791414)";"4,791414";"52,3753134";
115;"Detail118.jpg";"Brug Troelstralaan sloot sportpark Ookmeer / Geuzenveld zuid";"NW29";"Autoweg";"De Troelstraweg vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"Faunapassage aanleggen onder de Troelstraweg.";"DIVV, Stadsdeel Nieuw West";"30.000 – 60.000";0;"Op termijn";"";"PASSAGE";"OP_TERMIJN";"POINT(4.8012202,52.3729674)";"POINT(52.3729674,4.8012202)";"4,8012202";"52,3729674";
116;"nw30 .jpg";"President Allendelaan-Slotermeerlaan";"NW30";"Autoweg";"De Slotermeerlaan vormt een barrière.";"Amfibieën - Kleine zoogdieren";"Faunarichel";"De duiker voorzien van faunarichels.";"V&OR, Stadsdeel Nieuw West";"5.000 – 10.000";0;"Gerealiseerd";"";"RICHEL";"GEREALISEERD";"POINT(4.817364,52.3717658)";"POINT(52.3717658,4.817364)";"4,817364";"52,3717658";
117;"Detail120.jpg";"Brug President Allendelaan";"NW60";"Brug";"De brug van de Pr. Allendelaan vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunarichel";"De brug voorzien van faunarichels.";"DIVV, Stadsdeel Nieuw West";"10.000 – 20.000";0;"Gerealiseerd";"21.1.jpg";"RICHEL";"GEREALISEERD";"POINT(4.8077362,52.366944)";"POINT(52.366944,4.8077362)";"4,8077362";"52,366944";
118;"Detail121.jpg";"Weissentkade/ Osdorperweg";"NW62";"Autoweg";"De Osdorperweg vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"Faunapassage aanleggen onder de Osdorperweg.";"DIVV, Stadsdeel Nieuw West";"20.000 – 40.000";0;"Op termijn";"";"PASSAGE";"OP_TERMIJN";"POINT(4.7856338,52.3644683)";"POINT(52.3644683,4.7856338)";"4,7856338";"52,3644683";
